,y,x,z,desc
0,4995.72,5013.0,99.62,pta
1,5000.39,5013.1,99.7,pta
2,5010.52,5013.47,99.77,pta
3,5012.62,5013.55,99.8,pta
4,5041.4,5014.48,100.23,pta
5,5047.08,5014.79,100.22,pta
6,5041.36,5014.47,100.24,par
7,5033.97,5014.18,100.3,par
8,5026.69,5013.99,100.21,par
9,5006.44,5013.22,99.8,par
10,5000.43,5013.08,99.69,par
11,5000.23,5024.2,99.71,par
12,4995.09,5012.93,99.69,par
13,4987.69,5012.89,99.86,par
14,4981.48,5012.82,99.68,par
15,4973.7,5012.7,99.73,par
16,4928.8,5012.23,99.94,par
17,4976.71,4999.92,99.83,bv
18,4976.43,5007.06,99.83,bv
19,4994.9,4999.97,99.99,bv
20,4995.08,5007.22,99.94,bv
21,5011.83,5000.12,99.91,bv
22,5011.69,5007.32,99.97,bv
23,5027.26,5000.2,99.88,bv
24,5027.13,5007.41,99.91,bv
25,5026.67,5019.95,99.94,bv
26,5031.51,5007.43,99.87,bv
27,5032.31,5000.24,99.85,bv
28,5043.48,5000.3,99.76,bv
29,5045.17,4999.58,99.72,bv
30,5045.31,4997.7,99.65,bv
31,5044.14,4991.4,99.72,bv
32,5048.15,4990.79,99.77,bv
33,5049.53,4998.67,99.77,bv
34,5050.37,4999.95,99.77,bv
35,5052.1,5000.37,99.78,bv
36,5057.09,4999.92,99.76,bv
37,5055.16,5007.42,99.73,bv
38,5050.93,5007.55,99.76,bv
39,5046.36,5007.54,99.78,bv
40,5048.11,5015.87,100.4,cerramiento
41,5053.12,5015.8,100.31,cerramiento
42,5060.51,5015.63,100.55,cerramiento
43,5070.3,5015.34,100.31,cerramiento
44,5068.31,5005.34,99.68,bv
45,5062.67,5006.3,99.7,bv
46,5057.26,5007.17,99.71,bv
47,5048.81,5007.62,99.75,cam
48,5050.13,5003.71,99.82,cam
49,5046.98,5032.12,99.8,lindero
50,5047.07,5043.79,100.16,lindero
51,5041.38,5020.36,99.79,construcion
52,5033.84,5020.19,99.95,construcion
53,5032.49,5033.98,99.77,stand
54,5032.63,5041.78,99.97,stand
55,5028.5,5033.92,99.77,stand
56,5025.5,5033.89,99.73,stand
57,5022.62,5033.76,99.72,stand
58,5019.57,5033.92,99.76,stand
59,5019.55,5033.41,99.73,stand
60,5016.18,5034.06,99.72,stand
61,5016.21,5033.24,99.69,stand
