product,price,kilometraje
byd song plus dm-i 1.5 hibrida enchufable,183900000,5800
mazda 3 2.0 grand touring,64900000,59000
chevrolet tracker 1.8 lt,72000000,47000
kia picanto 1.2 vibrant,59500000,3600
nissan x-trail 2.5 kapital,63000000,81000
mercedes-benz c 200 coupe,140000000,10500
bmw x4 2.0 xdrive20d xline,184500000,42333
ford escape 2.0 se 4x4,66200000,91500
suzuki ertiga 1.4 mpv,49000000,58000
bmw x3 2.0 xdrive30e tp hibrida enchufable.,280000000,6800
mercedes-benz clase cla 180 amg line 1.3,130000000,40000
kia sportage 2.0 summa,71500000,65000
mazda cx-30 2.0 prime at,98000000,14000
ford ranger 3.2 xlt,163800000,13158
audi a4 1.8 tfsi comfort,63000000,41000
toyota corolla cross 1.8 se-g hybrid,155900000,12000
jeep wrangler 3.6 sport unlimited,195000000,72500
honda wr-v 1.5 lx,76000000,22180
bmw serie 4 2.0 m420i f36 gran coupe m,105000000,23191
chevrolet colorado ls,139000000,43800
mitsubishi montero 3.0 v43 wagon,58000000,147700
chevrolet sonic 1.6 lt 5 p,27400000,53000
nissan kicks 1.6 advance mt,95000000,25000
chevrolet trailblazer 2.8 ltz,85000000,62000
mazda bt-50 2.5 4x4 diesel,67000000,160
bmw ix3 m sport at electrico,305000000,1000
nissan x-trail 1.5 e-power hybrid,227000000,19030
suzuki grand vitara 2.0 sz 4x4,40500000,146095
mercedes-benz clase glc 2.0 250 4matic,155500000,34000
toyota prado 3.0 txl 4x4,165000000,113000
ford focus 2.0 titanium,38000000,94000
renault duster 1.6 zen,81500000,20000
nissan frontier 2.5 xe 4x4 diesel,200000000,26300
renault duster oroch 2.0 intens,75000000,48500
volvo xc60 2.5 t5 awd,85000000,41000
ford ranger 3.2 xls,122000000,105550
chevrolet tracker 1.8 lt,63000000,108000
toyota fortuner 2.7l mid,170000000,56500
hyundai tucson ix-35 2.0l 4x2,58000000,76000
mercedes-benz clase a 1.6 a 200,60000000,76600
volkswagen t-cross 1.0 turbo comfortline,89500000,26800
kia sportage 2.0 lx,84000000,110462
kia cerato pro 1.6  summa,53900000,69382
renault duster expression,37000000,152871
ford fiesta 1.6 sportback se automatica,42000000,47900
hyundai santa fe 2.2 gl diesel,54000000,157234
mazda cx-30 2.5 grand touring,116000000,42909
mitsubishi montero 3.0 v43 wagon,62000000,142000
kia cerato 1.6l,59000000,20000
kia k 2500,64500000,113000
